"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Game/ParagonKwang/FX/Materials/Debug/M_SolidParticleColor.M_SolidParticleColor","0","0","50","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","27","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","3","1","0.000000","0","0"
"/Game/ParagonKwang/Characters/Maps/BackGroundAssets/M_AssetPlatform.M_AssetPlatform","0","0","23","1","0.000000","0","46"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","3","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","38","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","3","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","35","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","3","1","0.000000","0","0"
"/Game/InfinityBladeIceLands/Environments/Ice/Env_Ice_Rocky/StaticMesh/M_Env_Ice_RuinedWalls_Snow.M_Env_Ice_RuinedWalls_Snow","0","0","14","1","0.000000","0","0"
"/Game/DATA/Materials/SM_FloatingNumbers.SM_FloatingNumbers","0","0","35","1","0.000000","0","0"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Mud.M_Mud","0","0","54","1","0.000000","0","0"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Derbis.M_Derbis","0","0","38","1","0.000000","0","0"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Basic_Shape.M_Basic_Shape","0","0","46","1","0.000000","0","0"
"/Game/Realistic_Starter_VFX_Pack_Vol2/DemoRoom/Materials/M_DemoWall.M_DemoWall","0","0","53","1","0.000000","0","0"
"/Game/DATA/Effects/m_flare_01.m_flare_01","0","0","15","1","0.000000","0","0"
"/Game/DATA/Meshes/WorldDeco/TargetDummy/blinn2.blinn2","0","0","14","1","0.000000","0","0"
"/Game/DATA/Meshes/WorldDeco/TargetDummy/blinn1.blinn1","0","0","14","1","0.000000","0","0"
"/Game/DATA/Meshes/WorldDeco/EX_Env_Rock_Icy_D_Mat.EX_Env_Rock_Icy_D_Mat","0","0","26","1","0.000000","0","0"
"/Game/DATA/Meshes/Weapons/lambert1.lambert1","0","0","14","1","0.000000","0","0"
"/Game/DATA/Materials/Fire/Masters/M_Add_Trail_2Sided_Pan_Master.M_Add_Trail_2Sided_Pan_Master","0","30","32","2","25.787428","0","106"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Rock_B.M_Rock_B","0","108","6","1","114.833740","0","2197"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Paper.M_Paper","0","72","1","1","72.897972","0","2007"
"/Game/InfinityBladeIceLands/Environments/Ice/Env_Ice_Ground/Materials/M_Tree_Dead.M_Tree_Dead","0","23","1","1","20.689581","0","233"
"/Game/InfinityBladeIceLands/Environments/Ice/Env_Ice_Ground/Materials/M_Snow_Drift_B.M_Snow_Drift_B","0","82","1","1","61.418919","0","2240"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Impact_B.M_Impact_B","0","9","1","1","6.372447","0","49"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Impact_C.M_Impact_C","0","12","1","1","8.756936","0","80"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_spark_C.M_Spark_C","0","12","2","1","9.487392","0","87"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Spark_A.M_Spark_A","0","9","1","1","5.831929","0","47"
"/Game/InfinityBladeIceLands/Environments/Ice/Env_Ice_Ground/Materials/M_Ice_Shards_Floor.M_Ice_Shards_Floor","0","23","5","1","19.555843","0","221"
"/Game/InfinityBladeIceLands/Environments/Ice/Env_Ice_Ground/Materials/M_Ice_Ground_Rock01.M_Ice_Ground_Rock01","0","23","2","1","20.674002","0","232"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Glow_D.M_Glow_D","0","9","1","1","7.916024","0","44"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Explosion_E.M_Explosion_E","0","9","1","1","6.820686","0","21"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Dandelion.M_Dandelion","0","12","1","1","8.997575","0","57"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_Butterfly.M_Butterfly","0","15","1","1","8.693121","0","87"
"/Game/Realistic_Starter_VFX_Pack_Vol2/Materials/M_WaterDrop.M_WaterDrop","0","69","1","1","55.778168","0","1396"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_ThornAxe/M_Blade_ThornAxe.M_Blade_ThornAxe","0","26","1","1","24.474646","0","214"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_TechAxe/M_Blade_TechAxe.M_Blade_TechAxe","0","26","1","1","23.727257","0","228"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_TAxe/M_Blade_TAxe.M_Blade_TAxe","0","26","1","1","21.495415","0","302"
"/Game/DATA/Effects/FX/Materials/Aurora/M_Aurora_Fragment.M_Aurora_Fragment","0","76","1","1","49.786293","0","2040"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_SpikeAxe/M_Blade_SpikeAxe.M_Blade_SpikeAxe","0","26","1","1","21.662109","0","332"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_Snarl/M_Blade_Snarl.M_Blade_Snarl","0","26","1","1","22.759779","0","238"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_SmAxe/T_Blade_SmAxe1_Mat.T_Blade_SmAxe1_Mat","0","23","1","1","21.226189","0","146"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_SmAxe/M_Blade_SmAxe.M_Blade_SmAxe","0","26","1","1","24.145000","0","283"
"/Game/InfinityBladeWeapons/Weapons/Blade/Axes/Blade_Hatchet/M_Blade_Hatchet.M_Blade_Hatchet","0","26","1","1","22.404076","0","264"
"/Game/ParagonRampage/FX/Materials/Flares/M_Cone_Flare_Master.M_Cone_Flare_Master","0","20","1","1","13.688411","0","176"
"/Game/ParagonRampage/FX/Materials/Debris/M_RockPile_MeshEmit_01.M_RockPile_MeshEmit_01","0","82","3","1","64.840157","0","2733"
"/Game/ParagonMorigesh/FX/Materials/Sparks/M_Hotdog_Spark_VLerp_Rand_Master.M_Hotdog_Spark_VLerp_Rand_Master","0","12","1","1","10.601049","0","89"
